case_id,citation,decision_date,has_termination,has_discipline,has_retaliation,has_coercion,has_privacy_violation,has_exclusion,has_mental_stress,claim_to_termination_days,timeline_flags
2020onwsiat215,2020 ONWSIAT 215 (CanLII),2020-01-27,0,0,0,0,0,0,0,,
2020onwsiat216,2020 ONWSIAT 216 (CanLII),2020-01-27,0,0,0,0,0,0,0,,
2020onwsiat217,2020 ONWSIAT 217 (CanLII),2020-01-27,0,0,0,0,0,0,0,,
2020onwsiat218,2020 ONWSIAT 218 (CanLII),2020-01-28,0,0,0,0,0,0,0,,
2020onwsiat219,2020 ONWSIAT 219 (CanLII),2020-01-28,0,0,0,0,0,0,0,,
2020onwsiat220,2020 ONWSIAT 220 (CanLII),2020-01-28,0,0,0,0,0,0,0,,
2020onwsiat221,2020 ONWSIAT 221 (CanLII),2020-01-28,0,0,0,0,0,0,0,,
2020onwsiat222,2020 ONWSIAT 222 (CanLII),2020-01-28,0,0,0,0,0,0,0,,
2020onwsiat223,2020 ONWSIAT 223 (CanLII),2020-01-28,0,0,0,0,0,0,0,,
2020onwsiat224,2020 ONWSIAT 224 (CanLII),2020-01-28,0,0,0,0,0,0,0,,
2020onwsiat225,2020 ONWSIAT 225 (CanLII),2020-01-28,0,0,0,0,0,0,0,,
2020onwsiat226,2020 ONWSIAT 226 (CanLII),2020-01-28,0,0,0,0,0,0,0,,
2020onwsiat227,2020 ONWSIAT 227 (CanLII),2020-01-28,0,0,0,0,0,0,0,,
2020onwsiat228,2020 ONWSIAT 228 (CanLII),2020-01-28,0,0,0,0,0,0,0,,
2020onwsiat229,2020 ONWSIAT 229 (CanLII),2020-01-29,0,0,0,0,0,0,0,,
2020onwsiat230,2020 ONWSIAT 230 (CanLII),2020-01-29,0,0,0,0,0,0,0,,
2020onwsiat231,2020 ONWSIAT 231 (CanLII),2020-01-29,0,0,0,0,0,0,0,,
2020onwsiat232,2020 ONWSIAT 232 (CanLII),2020-01-29,0,0,0,0,0,0,0,,
2020onwsiat233,2020 ONWSIAT 233 (CanLII),2020-01-29,0,0,0,0,0,0,0,,
2020onwsiat234,2020 ONWSIAT 234 (CanLII),2020-01-29,0,0,0,0,0,0,0,,
2020onwsiat235,2020 ONWSIAT 235 (CanLII),2020-01-29,0,0,0,0,0,0,0,,
2020onwsiat236,2020 ONWSIAT 236 (CanLII),2020-01-29,0,0,0,0,0,0,0,,
2020onwsiat237,2020 ONWSIAT 237 (CanLII),2020-01-29,0,0,0,0,0,0,0,,
2020onwsiat238,2020 ONWSIAT 238 (CanLII),2020-01-30,0,0,0,0,0,0,0,,
2020onwsiat239,2020 ONWSIAT 239 (CanLII),2020-01-30,0,0,0,0,0,0,0,,
2020onwsiat240,2020 ONWSIAT 240 (CanLII),2020-01-30,0,0,0,0,0,0,0,,
2020onwsiat241,2020 ONWSIAT 241 (CanLII),2020-01-30,0,0,0,0,0,0,0,,
2020onwsiat242,2020 ONWSIAT 242 (CanLII),2020-01-30,0,0,0,0,0,0,0,,
2020onwsiat243,2020 ONWSIAT 243 (CanLII),2020-01-30,0,0,0,0,0,0,0,,
2020onwsiat244,2020 ONWSIAT 244 (CanLII),2020-01-30,0,0,0,0,0,0,0,,
2020onwsiat245,2020 ONWSIAT 245 (CanLII),2020-01-30,0,0,0,0,0,0,0,,
2020onwsiat246,2020 ONWSIAT 246 (CanLII),2020-01-31,0,0,0,0,0,0,0,,
2020onwsiat247,2020 ONWSIAT 247 (CanLII),2020-01-31,0,0,0,0,0,0,0,,
2020onwsiat248,2020 ONWSIAT 248 (CanLII),2020-01-31,0,0,0,0,0,0,0,,
2020onwsiat249,2020 ONWSIAT 249 (CanLII),2020-01-31,0,0,0,0,0,0,0,,
2020onwsiat250,2020 ONWSIAT 250 (CanLII),2020-01-31,0,0,0,0,0,0,0,,
2020onwsiat251,2020 ONWSIAT 251 (CanLII),2020-01-31,0,0,0,0,0,0,0,,
2020onwsiat252,2020 ONWSIAT 252 (CanLII),2020-01-31,0,0,0,0,0,0,0,,
2020onwsiat253,2020 ONWSIAT 253 (CanLII),2020-01-31,0,0,0,0,0,0,0,,
2020onwsiat254,2020 ONWSIAT 254 (CanLII),2020-01-31,0,0,0,0,0,0,0,,
2020onwsiat255,2020 ONWSIAT 255 (CanLII),2020-01-31,0,0,0,0,0,0,0,,
2020onwsiat256,2020 ONWSIAT 256 (CanLII),2020-01-31,0,0,0,0,0,0,0,,
2020onwsiat257,2020 ONWSIAT 257 (CanLII),2020-01-31,0,0,0,0,0,0,0,,
2020onwsiat258,2020 ONWSIAT 258 (CanLII),2020-01-31,0,0,0,0,0,0,0,,
2020onwsiat259,2020 ONWSIAT 259 (CanLII),2020-01-31,0,0,0,0,0,0,0,,
2020onwsiat260,2020 ONWSIAT 260 (CanLII),2020-01-31,0,0,0,0,0,0,0,,
2020onwsiat261,2020 ONWSIAT 261 (CanLII),2020-01-31,0,0,0,0,0,0,0,,
2020onwsiat262,2020 ONWSIAT 262 (CanLII),2020-01-31,0,0,0,0,0,0,0,,
2020onwsiat263,2020 ONWSIAT 263 (CanLII),2020-02-03,0,0,0,0,0,0,0,,
2020onwsiat264,2020 ONWSIAT 264 (CanLII),2020-02-03,0,0,0,0,0,0,0,,
2020onwsiat265,2020 ONWSIAT 265 (CanLII),2020-02-03,0,0,0,0,0,0,0,,
2020onwsiat266,2020 ONWSIAT 266 (CanLII),2020-02-03,0,0,0,0,0,0,0,,
